key,en,id,jv,es,fr,ko,ja
move_tutorial,Press %s %s to Move,Pencet %s %s buat gerak,Penet %s %s kanggo gerak,Pulsa %s %s para moverte,Appuyez sur %s %s pour bouger,%s %s 를 눌러서 이동하세요,%s %sを押して移動
jump_tutorial,Hold and Release %s to Jump\nHold it longer to jump higher,Tahan dan lepas %s buat lompat\nTahan lamaan biar lompatnya lebih tinggi,Tahan lan culna %s kanggo mencolot\nTahan rada suwi ben mencolot e tambah dhuwur,Mantener y suelta %s para saltar\nMantenlo mas tiempo para saltar mas alto,Maintenez et relâchez %s pour sauter\nMaintenez le plus longtemps pour sauter plus haut,%s 를 누르고 있다가 놓으면 점프하세요\n더 오래 누르면 더 높게 점프하세요,%sを押し続けて離すとジャンプ\n長く押し続けるとより高くジャンプ
paused,Paused,Jeda,Jeda,En Pausa,En pause,일시 중지,ポーズ
language_label,Language,Bahasa,Basa,Idioma,Langue,언어,言語
language,English,Bahasa Indonesia,Basa Jawa,Español,Français,한국어,日本語
return_to_game,Return to the game,Balik ke permainan,Balik ning dolanan,Volver al juego,Revenir au jeu,게임으로 돌아가기,ゲームに戻る
checkpoint,Checkpoint!,Checkpoint!,Checkpoint!,¡Punto de control!,Point de contrôle!,체크포인트!,チェックポイント！
watch_ad_respawn,Watch ad to respawn at checkpoint,Tonton iklan buat pindah ke checkpoint,Iklan pariwara kanggo pindah ning checkpoint,Revive en el punto de control viendo el anuncio,Renaître au point de contrôle en regardant la publicité,광고 보고 체크포인트에서 부활하기,チェックポイントで復活するために広告を見る
loading_ad,Loading Ad...,Iklannya lagi dimuat nih…,Iklan e lagi diamot iki…,Cargando anuncio...,Chargement de la publicité…,광고 로딩 중…,広告読み込み中・・・
failed_ad_timeout,Request Timeout\nPlease check your internet connection and try again later,Batas waktu habis\nPeriksa koneksi internet kamu dan coba lagi nanti ya,Kantekan wates wektu\nPriksa koneksi internetmu lan jajalen maneh mengko ya,"Tiempo de espera agotado\nPor favor, verifica tu conexión a internet e inténtalo de nuevo más tarde",Délai d'attente dépassé\nVeuillez vérifier votre connexion internet et réessayer ultérieurement,요청 시간 초과\n인터넷 연결을 확인하고 나중에 다시 해봐,リクエストのタイムアウト\nインターネット接続を確認して、後でまた試してみてね
failed_ad_wrong_platform,Ad failed to load\nOnly available for Android platform,Iklannya gagal dimuat nih\nCuma tersedia buat platform Android,Iklan e ra kena diamot iki\nMung kasedhiya kanggo platform Android,El anuncio no se pudo cargar\nSolo disponible para la plataforma Android,La publicité n'a pas pu être chargée\nUniquement pour la plateforme Android,광고를 못 불러왔어\n안드로이드 플랫폼에서만 가능해,広告が読み込めなかった\nAndroid プラットフォーム専用です
failed_ad_no_internet,Ad failed to load \nNo Internet Connection,Iklannya gagal dimuat nih\nInternetnya mati,Iklan e ra kena diamot iki\nInternet e mati,El anuncio no se pudo cargar\nSin conexión a internet,La publicité n'a pas pu être chargée\nPas de connexion Internet,광고를 못 불러왔어\n인터넷 연결 없음,広告が読み込めなかった\nインターネット繋がってない
failed_ad_no_consent_gdpr,Ad failed to load \nPlease ensure you have granted the consent to view ads,Iklannya gagal dimuat nih\nPastikan konsen untuk melihat iklan sudah disetujui,Iklan e ra kena diamot iki\nPastina konsen kanggo deleng iklan wis disetujui,"El anuncio no se pudo cargar\nPor favor, asegúrate de haber dado consentimiento para ver anuncios",La publicité n'a pas pu être chargée\nVeuillez vérifier votre consentement pour les publicités,광고를 못 불러왔어\n광고를 보려면 동의를 허용했는지 확인해봐,広告が読み込めなかった\n広告を見るための同意を許可しているか確認してね
failed_ad_no_ads_to_load,No Ads available to load\nPlease try again later or check your ads privacy options.,Ga ada iklan yang bisa dimuat saat ini\nCoba lagi nanti atau periksa pengaturan privasi iklanmu,Ra ana iklan sing isa diamot saiki\nJajalen maneh mengko utawa priksa setelan privasi iklanmu,"No hay anuncios disponibles\nPor favor, Inténtalo de nuevo más tarde o verifica tus opciones de privacidad de anuncios",Pas de publicités disponibles\nVeuillez réessayer plus tard ou vérifier vos options de confidentialité des publicités,광고를 못 불러왔어\n로드할 광고 없어.  나중에 다시 해봐 아니면 광고 개인정보 옵션을 확인해봐,広告が読み込めなかった\n読み込む広告ないよ。後でまたやり直すか、広告のプライバシーオプションをチェックしてみてね
show_achievements,Show Achievements,Lihat Pencapaian,Deleng prestasi,Mostrar logros,Afficher les réussites,업적 표시,実績を見せて
sign_in_games_to_continue,Sign in to Google Play Games to continue,"Buat lanjut, masuk Google Play Games dulu ya","Kanggo nerusake, mlebu Google Play Games dhisek",Inicia sesión en Google Play Juegos para continuar,Connectez-vous à Google Play Jeux pour continuer,계속하려면 Google Play 게임에 로그인해,続けるにはGoogle Play Gamesにサインインしてね
